Attrition_Flag,Dependent_count,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Trans_Amt,Avg_Utilization_Ratio
Existing Customer,2,$40K - $60K,Blue,29,1438.3,4983,0.502
Existing Customer,2,$40K - $60K,Blue,54,3009,4070,0.24
Existing Customer,4,$60K - $80K,Blue,22,8717,2067,0.082
Existing Customer,0,Unknown,Blue,53,4315,1723,0.166
Existing Customer,3,$80K - $120K,Blue,36,9355,1138,0.076
Existing Customer,2,$80K - $120K,Blue,26,34516,14279,0.021
Existing Customer,3,$60K - $80K,Gold,33,34516,7750,0.021
Existing Customer,1,$80K - $120K,Blue,36,9247,1190,0.077
Existing Customer,4,$40K - $60K,Blue,43,1922,2920,0.369
Existing Customer,2,Less than $40K,Blue,32,1438.3,3808,0.494
Attrited Customer,2,$60K - $80K,Blue,48,2236,2562,0.318
Existing Customer,2,$40K - $60K,Blue,26,1438.3,2243,0.492
Existing Customer,3,$40K - $60K,Blue,34,8997,4558,0.079
Existing Customer,0,$60K - $80K,Blue,36,2334,1386,0.303
Existing Customer,4,$60K - $80K,Blue,36,19665,1110,0.036
Existing Customer,2,$80K - $120K,Blue,31,3306,4772,0.214
Existing Customer,1,Unknown,Blue,36,4465,4044,0.157
Existing Customer,4,$40K - $60K,Blue,37,1438.3,4341,0.489
Existing Customer,4,$80K - $120K,Blue,32,1438.3,1805,0.488
Existing Customer,3,$40K - $60K,Blue,28,3645,15559,0.192
Existing Customer,2,Less than $40K,Blue,33,2337,4048,0.299
Existing Customer,1,Less than $40K,Blue,25,6193,2456,0.112
Existing Customer,3,$80K - $120K,Blue,22,6361,1499,0.109
Existing Customer,2,$80K - $120K,Blue,40,11710,1749,0.059
Existing Customer,0,Less than $40K,Blue,27,1776,4878,0.389
Existing Customer,3,$80K - $120K,Blue,30,4180,3750,0.165
Attrited Customer,2,$60K - $80K,Gold,36,34516,4822,0.02
Existing Customer,2,$40K - $60K,Blue,36,1438.3,3499,0.477
Existing Customer,2,$40K - $60K,Blue,32,3680,4835,0.186
Existing Customer,0,Less than $40K,Blue,18,5422,4460,0.126
Existing Customer,5,Unknown,Blue,29,2555,4888,0.267
Existing Customer,0,Less than $40K,Blue,56,1438.3,2283,0.473
Existing Customer,2,Less than $40K,Blue,20,2420,3770,0.279
Existing Customer,3,$80K - $120K,Blue,25,11927,1986,0.057
Existing Customer,3,Less than $40K,Blue,25,1438.3,1717,0.469
Existing Customer,3,$80K - $120K,Blue,27,3676,14651,0.183
Existing Customer,2,Less than $40K,Blue,42,4328,1580,0.155
Existing Customer,2,$120K +,Gold,35,34516,3931,0.019
Attrited Customer,3,Less than $40K,Blue,22,1890,1483,0.352
Existing Customer,2,$40K - $60K,Blue,44,1538,4808,0.433
Existing Customer,1,Less than $40K,Blue,37,1837,4752,0.362
Existing Customer,3,Less than $40K,Blue,40,1438.3,4463,0.46
Existing Customer,3,$60K - $80K,Blue,35,7050,1236,0.093
Existing Customer,0,$60K - $80K,Blue,46,3640,3756,0.181
Existing Customer,5,$80K - $120K,Blue,38,34516,3661,0.019
Existing Customer,3,$80K - $120K,Silver,38,34516,4614,0.019
Existing Customer,2,$40K - $60K,Blue,36,5370,4504,0.122
Existing Customer,3,Less than $40K,Blue,36,2201,3165,0.296
Existing Customer,4,Less than $40K,Blue,39,2268,5016,0.287
Existing Customer,0,Less than $40K,Blue,45,1438.3,1267,0.451
Existing Customer,4,$40K - $60K,Blue,41,6250,2433,0.103
Attrited Customer,3,$40K - $60K,Blue,29,1684,2164,0.382
Existing Customer,3,$60K - $80K,Blue,36,17811,3748,0.036
Attrited Customer,2,Less than $40K,Blue,36,1438.3,1939,0.446
Existing Customer,3,Less than $40K,Blue,36,2326,5413,0.276
Existing Customer,2,Less than $40K,Blue,43,6897,2781,0.093
Existing Customer,3,$40K - $60K,Blue,42,9215,13345,0.069
Existing Customer,3,Less than $40K,Blue,29,2897,4491,0.22
Existing Customer,3,Less than $40K,Blue,36,1438.3,4824,0.442
Existing Customer,1,$40K - $60K,Blue,39,1438.3,4617,0.441
Existing Customer,2,Unknown,Blue,28,4693,4460,0.135
Existing Customer,2,Less than $40K,Blue,28,7411,2761,0.085
Existing Customer,2,$40K - $60K,Blue,34,13984,4727,0.045
Existing Customer,1,Less than $40K,Blue,18,2710,1718,0.232
Existing Customer,3,$60K - $80K,Blue,39,9264,4107,0.068
Attrited Customer,3,Less than $40K,Blue,35,2402,1930,0.261
Existing Customer,4,Less than $40K,Blue,31,2490,1391,0.252
Existing Customer,2,$40K - $60K,Blue,36,13904,3151,0.045
Existing Customer,4,$80K - $120K,Blue,47,3861,4816,0.161
Existing Customer,2,$80K - $120K,Blue,46,5965,4637,0.104
Existing Customer,4,Less than $40K,Blue,49,4604,4586,0.135
Existing Customer,4,$40K - $60K,Blue,35,1850,4234,0.336
Existing Customer,2,$80K - $120K,Blue,35,2647,2262,0.234
Existing Customer,2,$60K - $80K,Blue,39,17575,15473,0.035
Attrited Customer,3,Less than $40K,Blue,24,1662,2326,0.369
Existing Customer,5,$60K - $80K,Blue,38,24033,3578,0.025
Existing Customer,4,Less than $40K,Blue,36,1438.3,5062,0.421
Existing Customer,5,Less than $40K,Blue,38,1438.3,4469,0.42
Existing Customer,4,$40K - $60K,Blue,30,1438.3,4669,0.418
Existing Customer,2,Unknown,Blue,35,10600,4586,0.056
Existing Customer,0,$40K - $60K,Blue,36,1459,2229,0.404
Existing Customer,3,$120K +,Blue,35,27391,2862,0.021
Existing Customer,1,$40K - $60K,Blue,28,8482,4245,0.069
Existing Customer,2,$120K +,Silver,31,34516,13534,0.017
Existing Customer,1,Less than $40K,Blue,30,1438.3,1259,0.405
Existing Customer,4,$80K - $120K,Blue,38,28327,3475,0.021
Existing Customer,2,$40K - $60K,Blue,36,1438.3,4915,0.405
Existing Customer,1,$80K - $120K,Blue,41,6346,3837,0.091
Existing Customer,3,$40K - $60K,Blue,45,6053,5035,0.095
Attrited Customer,2,Less than $40K,Blue,36,1438.3,2567,0.4
Attrited Customer,4,$80K - $120K,Blue,36,34516,8659,0.017
Existing Customer,3,$80K - $120K,Blue,30,6347,3927,0.09
Existing Customer,3,$40K - $60K,Silver,33,21308,1322,0.026
Existing Customer,3,$40K - $60K,Blue,39,1457,3967,0.386
Existing Customer,3,Less than $40K,Blue,42,1529,4220,0.368
Existing Customer,4,$40K - $60K,Blue,33,9148,3451,0.061
Existing Customer,3,$120K +,Blue,36,27876,4654,0.02
Existing Customer,2,Less than $40K,Blue,48,1517,4981,0.367
Existing Customer,1,$80K - $120K,Blue,36,34516,1629,0.016
Existing Customer,3,Unknown,Blue,37,17345,3523,0.031
Attrited Customer,1,Less than $40K,Blue,36,1438.3,2294,0.378
Existing Customer,4,$80K - $120K,Blue,39,34516,3951,0.016
Attrited Customer,4,$80K - $120K,Blue,31,3929,7773,0.138
Existing Customer,3,Less than $40K,Blue,34,8109,3609,0.067
Existing Customer,1,Less than $40K,Blue,36,2611,5121,0.206
Attrited Customer,1,$40K - $60K,Blue,24,4169,8565,0.128
Attrited Customer,2,Unknown,Platinum,32,34516,5418,0.015
Attrited Customer,4,Less than $40K,Blue,36,2128,2289,0.248
Existing Customer,2,Less than $40K,Blue,36,2855,3645,0.185
Attrited Customer,2,$40K - $60K,Blue,43,1643,2520,0.32
Attrited Customer,2,Less than $40K,Blue,52,2490,864,0.206
Existing Customer,3,$60K - $80K,Blue,40,1438.3,4791,0.356
Attrited Customer,2,$60K - $80K,Silver,35,33180,797,0.015
Existing Customer,3,$60K - $80K,Blue,38,10239,1228,0.05
Attrited Customer,4,$80K - $120K,Blue,35,10588,7886,0.048
Attrited Customer,1,Less than $40K,Blue,36,2422,2548,0.207
Existing Customer,3,$80K - $120K,Blue,39,7088,4691,0.247
Existing Customer,1,$40K - $60K,Blue,23,8147,14912,0.215
Existing Customer,3,$60K - $80K,Blue,18,3417,2068,0.512
Existing Customer,3,Less than $40K,Blue,36,4328,4593,0.404
Existing Customer,5,$120K +,Blue,29,5207,1310,0.336
Existing Customer,1,$80K - $120K,Blue,29,21684,1329,0.081
Existing Customer,1,Less than $40K,Blue,19,4255,2236,0.411
Existing Customer,4,$80K - $120K,Blue,33,2371,4460,0.737
Existing Customer,2,$60K - $80K,Blue,26,20803,4012,0.084
Existing Customer,1,Less than $40K,Blue,44,3947,1110,0.442
Existing Customer,4,$80K - $120K,Blue,40,21148,3370,0.083
Existing Customer,5,Less than $40K,Blue,42,4021,14567,0.434
Existing Customer,4,Less than $40K,Blue,45,3059,7709,0.57
Existing Customer,3,$120K +,Blue,48,3088,3906,0.564
Existing Customer,3,$60K - $80K,Silver,36,29663,14638,0.059
Existing Customer,2,Less than $40K,Blue,28,2573,4649,0.677
Existing Customer,4,$120K +,Blue,36,34516,7360,0.05
Existing Customer,1,$80K - $120K,Blue,41,2826,4488,0.616
Existing Customer,2,$40K - $60K,Blue,52,2676,3863,0.65
Existing Customer,1,Less than $40K,Blue,53,2716,4208,0.641
Existing Customer,2,$40K - $60K,Silver,39,18524,4496,0.094
Existing Customer,1,Less than $40K,Silver,40,13411,12493,0.129
Existing Customer,2,$40K - $60K,Blue,19,6628,4050,0.262
Existing Customer,0,Unknown,Blue,46,4661,5242,0.372
Existing Customer,2,$40K - $60K,Blue,36,2686,2057,0.645
Existing Customer,2,Less than $40K,Blue,29,3200,5026,0.542
Existing Customer,0,$40K - $60K,Blue,24,12050,2015,0.144
Existing Customer,1,$60K - $80K,Blue,43,9619,3690,0.18
Existing Customer,4,Less than $40K,Blue,20,2801,4568,0.618
Existing Customer,1,Less than $40K,Blue,36,2178,4275,0.795
Existing Customer,2,$40K - $60K,Blue,24,3375,4341,0.513
Existing Customer,2,$40K - $60K,Blue,31,3261,4242,0.531
Existing Customer,3,$80K - $120K,Blue,36,24869,1409,0.07
Existing Customer,0,$40K - $60K,Blue,21,2158,1718,0.801
Existing Customer,5,$80K - $120K,Blue,37,15638,4396,0.111
Existing Customer,4,$60K - $80K,Blue,44,7026,3935,0.246
Existing Customer,3,$60K - $80K,Blue,27,2043,5212,0.844
Existing Customer,3,$80K - $120K,Blue,32,30820,3402,0.056
Existing Customer,3,$40K - $60K,Blue,36,8919,13719,0.193
Attrited Customer,2,$120K +,Blue,42,34162,7572,0.05
Existing Customer,2,Less than $40K,Blue,36,2182,5377,0.789
Existing Customer,5,Less than $40K,Blue,35,2206,4455,0.781
Existing Customer,0,$60K - $80K,Silver,24,32535,15738,0.053
Existing Customer,4,$40K - $60K,Blue,36,13258,1080,0.13
Existing Customer,0,$60K - $80K,Blue,15,8267,1917,0.208
Existing Customer,0,Unknown,Blue,15,3107,2460,0.554
Existing Customer,2,$40K - $60K,Blue,49,3377,1621,0.509
Existing Customer,2,$60K - $80K,Blue,40,17655,16293,0.097
Existing Customer,4,Unknown,Blue,36,15875,1592,0.108
Existing Customer,3,$80K - $120K,Blue,30,4147,1776,0.415
Existing Customer,3,Unknown,Silver,36,32611,3916,0.053
Existing Customer,5,$40K - $60K,Blue,27,2437,8028,0.705
Existing Customer,4,Less than $40K,Blue,37,6551,13363,0.262
Existing Customer,1,$60K - $80K,Blue,18,16604,2580,0.103
Existing Customer,1,Less than $40K,Blue,48,2036,4161,0.843
Existing Customer,4,Less than $40K,Blue,37,3413,3843,0.502
Existing Customer,1,Less than $40K,Blue,36,2873,4620,0.597
Existing Customer,0,$60K - $80K,Blue,49,3352,1952,0.511
Existing Customer,2,$80K - $120K,Blue,41,10606,2694,0.162
Existing Customer,4,$120K +,Blue,41,3401,1924,0.504
Existing Customer,2,Less than $40K,Blue,33,5152,3919,0.332
Existing Customer,2,Unknown,Blue,32,5877,15106,0.291
Existing Customer,1,Less than $40K,Blue,19,8744,2579,0.196
Existing Customer,5,Less than $40K,Blue,34,2096,3692,0.816
Existing Customer,0,$80K - $120K,Blue,36,16286,2552,0.105
Existing Customer,3,Less than $40K,Blue,38,7326,1852,0.233
Existing Customer,1,$80K - $120K,Blue,27,3761,3240,0.455
Existing Customer,3,$60K - $80K,Blue,39,6362,4476,0.269
Existing Customer,1,Less than $40K,Blue,28,2388,4539,0.715
Existing Customer,0,Unknown,Blue,52,2683,1582,0.636
Existing Customer,3,$80K - $120K,Blue,36,7633,1807,0.224
Attrited Customer,3,Unknown,Blue,36,5260,2142,0.324
Existing Customer,1,$40K - $60K,Blue,48,2522,4697,0.676
Existing Customer,4,$40K - $60K,Blue,34,2168,4584,0.786
Existing Customer,2,$120K +,Blue,37,12181,1478,0.14
Existing Customer,5,$40K - $60K,Blue,37,2607,4949,0.653
Existing Customer,2,$120K +,Silver,36,34516,8652,0.049
Existing Customer,4,$80K - $120K,Blue,45,23070,8070,0.074
Existing Customer,3,$40K - $60K,Blue,40,8900,4710,0.191
Existing Customer,4,Less than $40K,Blue,35,4478,3879,0.38
Existing Customer,0,Less than $40K,Blue,19,2370,2411,0.717
Existing Customer,3,Less than $40K,Blue,36,2535,4497,0.67
Existing Customer,4,$40K - $60K,Blue,35,2631,4691,0.646
Existing Customer,0,$40K - $60K,Blue,46,5877,2494,0.289
Existing Customer,0,$40K - $60K,Blue,41,7507,4651,0.226
Existing Customer,4,$80K - $120K,Blue,36,2078,4382,0.816
Existing Customer,2,$80K - $120K,Blue,54,22981,4192,0.074
Existing Customer,2,$40K - $60K,Gold,36,23981,8646,0.071
Existing Customer,4,$80K - $120K,Blue,36,14804,15237,0.115
Existing Customer,2,$80K - $120K,Blue,46,12540,16518,0.135
Existing Customer,1,$40K - $60K,Blue,20,2469,1615,0.687
Existing Customer,0,$40K - $60K,Silver,54,18064,3434,0.094
Existing Customer,3,$120K +,Blue,36,30883,1267,0.055
Existing Customer,3,$60K - $80K,Blue,36,2589,4259,0.654
Existing Customer,3,Less than $40K,Blue,37,2238,5339,0.756
Existing Customer,3,$80K - $120K,Blue,42,2731,1220,0.62
Existing Customer,3,$120K +,Blue,40,7319,1233,0.231
Existing Customer,2,$60K - $80K,Blue,36,15405,1763,0.11
Existing Customer,0,Less than $40K,Blue,54,2644,3495,0.64
Existing Customer,2,Less than $40K,Blue,45,1960,3870,0.862
Existing Customer,2,$80K - $120K,Blue,36,15594,16101,0.108
Existing Customer,3,$40K - $60K,Blue,33,10533,3651,0.16
Attrited Customer,3,$40K - $60K,Blue,47,2687,2370,0.629
Existing Customer,3,$80K - $120K,Blue,40,31383,1721,0.054
Existing Customer,1,$60K - $80K,Blue,36,7871,1428,0.214
Existing Customer,3,$40K - $60K,Blue,34,12078,2384,0.14
Existing Customer,2,Less than $40K,Blue,34,2429,4122,0.695
Existing Customer,0,Less than $40K,Blue,35,5923,1236,0.285
Existing Customer,4,Less than $40K,Blue,40,2712,4678,0.622
Existing Customer,4,$40K - $60K,Blue,24,6475,3837,0.26
Existing Customer,2,$60K - $80K,Blue,36,16427,1579,0.102
Existing Customer,0,Unknown,Blue,36,5190,4900,0.324
Existing Customer,3,Less than $40K,Blue,40,4255,3453,0.395
Existing Customer,3,$60K - $80K,Blue,28,4646,2234,0.362
Existing Customer,1,$40K - $60K,Blue,40,4274,4820,0.393
Existing Customer,2,Unknown,Blue,37,4559,4934,0.369
Existing Customer,4,$40K - $60K,Blue,28,4022,3776,0.418
Existing Customer,4,$60K - $80K,Silver,33,34516,1060,0.049
Existing Customer,0,Less than $40K,Blue,47,7692,1861,0.218
Existing Customer,2,$80K - $120K,Blue,29,13395,2650,0.125
Existing Customer,4,$40K - $60K,Blue,48,2576,3913,0.651
Existing Customer,1,Less than $40K,Blue,36,1861,5225,0.901
Existing Customer,2,Less than $40K,Blue,34,6265,8162,0.268
Existing Customer,0,$80K - $120K,Blue,25,4237,2465,0.396
Existing Customer,3,$60K - $80K,Blue,30,2888,3798,0.58
Existing Customer,2,$60K - $80K,Blue,45,24287,5495,0.069
Existing Customer,3,$120K +,Blue,20,14244,2729,0.117
Existing Customer,3,$40K - $60K,Blue,30,3821,15005,0.438
Existing Customer,4,$120K +,Blue,37,8396,1475,0.199
Existing Customer,1,Unknown,Blue,37,2441,4439,0.685
Existing Customer,0,$80K - $120K,Blue,36,8276,1409,0.202
Existing Customer,2,Less than $40K,Blue,21,5015,3161,0.333
Existing Customer,1,$80K - $120K,Blue,36,26792,3587,0.062
Existing Customer,0,$40K - $60K,Blue,36,2212,2520,0.755
Existing Customer,0,Less than $40K,Blue,36,2241,4653,0.745
Existing Customer,4,$80K - $120K,Blue,22,5037,4379,0.332
Existing Customer,3,$60K - $80K,Blue,30,2588,1053,0.645
Existing Customer,3,Less than $40K,Blue,24,9297,1264,0.179
Existing Customer,4,Less than $40K,Blue,30,8777,4141,0.19
Existing Customer,4,Unknown,Silver,26,32056,12595,0.052
Existing Customer,4,Less than $40K,Blue,33,2393,3768,0.697
Existing Customer,3,$60K - $80K,Blue,30,8547,1311,0.195
Existing Customer,1,$80K - $120K,Silver,36,34516,13971,0.048
Existing Customer,2,$120K +,Blue,24,3497,2337,0.476
Existing Customer,2,$80K - $120K,Blue,33,34496,8092,0.048
Existing Customer,2,Unknown,Blue,41,3007,1475,0.553
Existing Customer,3,$60K - $80K,Blue,29,2775,2478,0.6
Existing Customer,2,Unknown,Blue,54,3356,5200,0.496
Existing Customer,4,$80K - $120K,Blue,46,19270,1565,0.086
Existing Customer,3,$80K - $120K,Blue,39,24850,1226,0.067
Existing Customer,3,$120K +,Blue,38,34516,3806,0.048
Existing Customer,3,$80K - $120K,Blue,31,30753,1780,0.054
Existing Customer,1,Less than $40K,Silver,36,12633,14378,0.131
Existing Customer,1,Less than $40K,Blue,30,2593,1974,0.64
Existing Customer,2,$40K - $60K,Blue,36,6763,4972,0.245
Existing Customer,2,$120K +,Blue,41,16453,14762,0.101
Existing Customer,3,$60K - $80K,Blue,36,4108,2275,0.404
Existing Customer,4,Less than $40K,Blue,36,2609,3024,0.635
Existing Customer,3,$120K +,Blue,44,14057,2073,0.118
Existing Customer,4,Less than $40K,Blue,39,4948,3711,0.334
Existing Customer,4,Less than $40K,Blue,36,3864,1470,0.428
Existing Customer,4,$60K - $80K,Blue,36,1943,3392,0.851
Existing Customer,4,$60K - $80K,Blue,26,20929,4001,0.079
Existing Customer,3,$60K - $80K,Silver,34,34516,8450,0.048
Existing Customer,5,$80K - $120K,Blue,34,11942,1085,0.138
Attrited Customer,4,$40K - $60K,Blue,36,5913,2404,0.279
Existing Customer,3,$80K - $120K,Blue,43,4645,1193,0.355
Existing Customer,0,Less than $40K,Silver,20,12793,2671,0.129
Existing Customer,2,$120K +,Blue,40,34516,7552,0.048
Existing Customer,2,$40K - $60K,Blue,43,4090,15497,0.403
Existing Customer,0,Less than $40K,Blue,50,3791,2058,0.435
Existing Customer,2,$40K - $60K,Blue,36,9074,14084,0.182
Existing Customer,3,$40K - $60K,Blue,36,8682,1792,0.19
Existing Customer,3,Unknown,Blue,39,2270,4110,0.726
Existing Customer,3,Less than $40K,Blue,33,2255,4270,0.73
Existing Customer,2,$40K - $60K,Blue,40,2623,4388,0.628
Attrited Customer,0,Less than $40K,Blue,16,1835,1903,0.898
Existing Customer,0,$40K - $60K,Blue,54,3077,1523,0.535
Existing Customer,3,Less than $40K,Blue,36,2650,4512,0.621
Existing Customer,2,Less than $40K,Blue,24,7207,13730,0.228
Existing Customer,3,$80K - $120K,Blue,36,17965,1767,0.092
Existing Customer,0,$40K - $60K,Blue,40,2634,4190,0.624
Attrited Customer,0,$60K - $80K,Blue,54,11859,8930,0.139
Existing Customer,2,$80K - $120K,Gold,33,34516,4161,0.048
Existing Customer,1,$60K - $80K,Silver,55,34516,14954,0.048
Existing Customer,3,Unknown,Blue,46,2286,4321,0.718
Existing Customer,2,Less than $40K,Blue,35,2888,3703,0.568
Existing Customer,5,$60K - $80K,Blue,32,4162,3967,0.394
Existing Customer,2,Less than $40K,Blue,45,2494,1555,0.657
Existing Customer,2,Less than $40K,Blue,36,4066,3040,0.403
Existing Customer,2,$40K - $60K,Blue,26,3142,3046,0.522
Existing Customer,4,$120K +,Blue,38,34516,4959,0.047
Existing Customer,4,$40K - $60K,Blue,22,2563,2064,0.639
Existing Customer,4,$60K - $80K,Blue,36,10226,3321,0.16
Existing Customer,3,$120K +,Blue,35,34516,14474,0.047
Existing Customer,4,$40K - $60K,Blue,36,4008,1395,0.408
Existing Customer,1,$60K - $80K,Blue,18,10488,14719,0.156
Existing Customer,2,$80K - $120K,Blue,15,4158,1678,0.393
Existing Customer,1,Less than $40K,Blue,22,2965,2553,0.551
Existing Customer,4,$120K +,Silver,36,34516,7219,0.047
Existing Customer,2,$120K +,Blue,44,14734,1289,0.111
Existing Customer,4,Less than $40K,Blue,36,2902,4748,0.563
Existing Customer,4,$120K +,Gold,36,34516,7788,0.047
Existing Customer,3,$80K - $120K,Blue,41,12302,1483,0.133
Existing Customer,1,$60K - $80K,Blue,17,7906,1946,0.206
Existing Customer,2,Unknown,Blue,42,21046,7653,0.077
Existing Customer,1,$60K - $80K,Blue,40,2319,3739,0.703
Attrited Customer,3,$80K - $120K,Blue,29,24001,9102,0.068
Attrited Customer,2,$80K - $120K,Blue,37,5449,836,0.299
Existing Customer,4,$60K - $80K,Blue,36,4998,4329,0.325
Attrited Customer,4,$60K - $80K,Blue,36,9375,2108,0.173
Existing Customer,1,Less than $40K,Blue,39,2210,1287,0.735
Existing Customer,2,Less than $40K,Blue,46,3312,1973,0.49
Existing Customer,2,$120K +,Blue,34,27732,1413,0.059
Existing Customer,1,$40K - $60K,Blue,46,4589,1569,0.353
Existing Customer,1,Less than $40K,Blue,18,7583,2229,0.214
Existing Customer,1,Less than $40K,Blue,52,2636,4727,0.614
Existing Customer,3,$40K - $60K,Blue,33,5146,1955,0.314
Existing Customer,1,$80K - $120K,Silver,44,34516,11603,0.047
Existing Customer,1,Less than $40K,Blue,36,2688,4183,0.602
Existing Customer,0,Less than $40K,Blue,56,2541,1416,0.636
Attrited Customer,0,$40K - $60K,Blue,13,1730,869,0.934
Existing Customer,1,$40K - $60K,Blue,36,1936,4773,0.833
Existing Customer,2,Less than $40K,Silver,32,12695,8328,0.127
Existing Customer,5,$80K - $120K,Blue,47,2340,8851,0.689
Existing Customer,0,$40K - $60K,Blue,36,2657,2349,0.606
Existing Customer,4,$40K - $60K,Blue,27,6885,3804,0.234
Existing Customer,2,Less than $40K,Blue,41,2289,4817,0.704
Existing Customer,4,Unknown,Blue,36,2521,1328,0.638
Existing Customer,1,$80K - $120K,Blue,26,19136,2501,0.084
Attrited Customer,1,Less than $40K,Blue,33,2006,2760,0.802
Existing Customer,3,$60K - $80K,Blue,21,7381,5638,0.218
Existing Customer,4,Less than $40K,Blue,28,2226,2660,0.722
Existing Customer,4,$40K - $60K,Blue,36,3402,3188,0.472
Existing Customer,3,Unknown,Blue,24,13951,4576,0.115
Existing Customer,1,$60K - $80K,Blue,49,9944,3159,0.162
Attrited Customer,1,Less than $40K,Blue,55,1892,1581,0.848
Existing Customer,3,$80K - $120K,Blue,30,10009,4347,0.16
Existing Customer,1,$40K - $60K,Blue,48,7251,1300,0.221
Existing Customer,3,Less than $40K,Blue,40,3117,1437,0.514
Existing Customer,3,$40K - $60K,Blue,27,10747,1340,0.149
Existing Customer,2,$40K - $60K,Blue,36,3454,1575,0.464
Existing Customer,3,$80K - $120K,Blue,35,20640,1792,0.078
Existing Customer,4,$80K - $120K,Blue,36,26443,1593,0.061
Existing Customer,2,$60K - $80K,Silver,39,34516,7491,0.046
Existing Customer,4,Unknown,Blue,42,10247,1754,0.156
Existing Customer,1,$40K - $60K,Blue,19,5559,5344,0.288
Existing Customer,0,Less than $40K,Blue,36,1677,2389,0.953
Existing Customer,3,Less than $40K,Blue,44,2300,4287,0.695
Existing Customer,0,$40K - $60K,Blue,19,2187,2560,0.73
Existing Customer,2,$40K - $60K,Blue,34,6387,1294,0.25
Existing Customer,3,$40K - $60K,Blue,31,9949,3776,0.161
Existing Customer,3,Unknown,Blue,36,4210,4342,0.379
Existing Customer,3,Less than $40K,Blue,36,2525,4859,0.632
Existing Customer,3,Less than $40K,Blue,21,6104,15240,0.261
Existing Customer,1,$80K - $120K,Blue,36,14858,4286,0.107
Existing Customer,3,Unknown,Blue,38,4072,4317,0.391
Existing Customer,0,Less than $40K,Blue,42,3749,7990,0.425
Existing Customer,4,$60K - $80K,Blue,36,20237,15041,0.079
Existing Customer,2,$80K - $120K,Blue,37,19366,3627,0.082
Existing Customer,0,$40K - $60K,Blue,27,4815,2501,0.33
Existing Customer,1,$120K +,Blue,36,31945,3650,0.05
Existing Customer,2,Less than $40K,Blue,36,4970,5023,0.32
Existing Customer,3,$60K - $80K,Blue,34,3755,14402,0.424
Existing Customer,1,$40K - $60K,Silver,47,16677,1410,0.095
Existing Customer,1,Less than $40K,Blue,32,2667,4596,0.596
Existing Customer,2,Less than $40K,Blue,39,2426,5175,0.655
Existing Customer,3,$80K - $120K,Blue,37,16954,3411,0.094
Existing Customer,1,$40K - $60K,Blue,54,9095,1314,0.174
Existing Customer,4,$80K - $120K,Blue,34,21573,1384,0.073
Existing Customer,4,$60K - $80K,Blue,36,6139,7906,0.258
Existing Customer,3,$60K - $80K,Blue,30,2789,2688,0.568
Existing Customer,0,$60K - $80K,Silver,36,29572,7566,0.054
Existing Customer,5,Less than $40K,Blue,42,2519,8852,0.629
Existing Customer,5,Less than $40K,Blue,36,2699,4071,0.587
Existing Customer,3,$80K - $120K,Blue,39,13824,4630,0.114
Existing Customer,0,Less than $40K,Blue,56,2294,3951,0.69
Existing Customer,3,Less than $40K,Blue,36,2490,7719,0.635
Existing Customer,3,Less than $40K,Blue,38,2652,4747,0.596
Existing Customer,3,$60K - $80K,Blue,43,2240,1518,0.705
Existing Customer,3,$60K - $80K,Gold,37,34516,4149,0.046
Existing Customer,3,$60K - $80K,Blue,38,3243,15710,0.487
Existing Customer,3,Less than $40K,Blue,35,2563,4838,0.616
Existing Customer,1,Less than $40K,Blue,39,4844,1489,0.325
Existing Customer,3,Less than $40K,Blue,30,6006,3199,0.262
Attrited Customer,1,Unknown,Blue,24,2694,2041,0.585
Existing Customer,1,$40K - $60K,Blue,40,2661,4615,0.592
Existing Customer,3,Unknown,Blue,36,9766,7605,0.161
Attrited Customer,0,Less than $40K,Blue,38,4935,8527,0.319
Attrited Customer,3,Less than $40K,Blue,35,5492,2416,0.286
Existing Customer,4,Less than $40K,Blue,30,2124,4592,0.741
Existing Customer,2,$60K - $80K,Blue,36,5746,3446,0.274
Existing Customer,1,Less than $40K,Blue,53,2077,1365,0.756
Existing Customer,0,$40K - $60K,Blue,56,2961,1937,0.53
Existing Customer,1,$40K - $60K,Blue,26,2933,4956,0.535
Existing Customer,1,$40K - $60K,Blue,36,3720,16208,0.422
Existing Customer,4,$60K - $80K,Blue,36,18721,4537,0.084
Existing Customer,3,$40K - $60K,Silver,34,19000,8443,0.083
Existing Customer,2,Less than $40K,Blue,27,2096,1559,0.748
Existing Customer,2,$40K - $60K,Blue,40,12240,1422,0.128
Existing Customer,3,Less than $40K,Blue,48,3428,1155,0.457
Existing Customer,3,Unknown,Blue,32,19636,2595,0.08
Existing Customer,3,Less than $40K,Blue,36,2182,3935,0.718
Existing Customer,3,Less than $40K,Blue,53,2493,4867,0.628
Existing Customer,1,Less than $40K,Blue,27,1840,4518,0.851
Existing Customer,0,Less than $40K,Blue,26,2382,4011,0.657
Existing Customer,2,Less than $40K,Blue,31,2315,4828,0.676
Existing Customer,1,Less than $40K,Blue,39,2590,1188,0.604
Existing Customer,1,$40K - $60K,Blue,20,3232,13142,0.484
Existing Customer,1,$80K - $120K,Blue,34,3554,3640,0.44
Existing Customer,2,$60K - $80K,Blue,32,3842,14751,0.407
Existing Customer,1,Less than $40K,Blue,32,6373,3483,0.245
Existing Customer,3,$80K - $120K,Blue,36,23512,3764,0.066
