Transport_Mode,Vehicle_Type,Trip_Purpose,Trip_Duration_Minutes,Distance_Km,Start_Time,End_Time,Passenger_Age,Gender,Nationality,Trip_Cost_SGD,Payment_Method,Service_Rating,Traffic_Condition,CO2_Emissions_Kg,Frequent_User,Peak_Hour_Travel,Accessibility_Features_Needed,Incidents_Reported
Bus,Sedan,School,104,9.75,2021-11-29 21:48:49,2021-11-29 23:32:49,57,Female,Indonesian,6.24,Travel Pass,3.9,Light,4.45,No,No,Yes,Yes
Taxi,Van,Leisure,80.64,29.55,2021-12-01 00:05:45,2021-12-01 01:26:23,78,Male,Malaysian,38.57,Cash,2.8,Moderate,0.16,Yes,Yes,No,No
Private Car,None,School,105.12,2.17,2021-12-02 02:22:42,2021-12-02 04:07:49,32,Male,Malaysian,40.48,Travel Pass,1.7,Light,5.69,No,No,Yes,Yes
Bus,Sedan,Commuting,46.18,31.55,2021-12-03 04:39:38,2021-12-03 05:25:49,50,Female,Malaysian,41.14,Card,1.7,Moderate,4.24,No,No,No,Yes
Taxi,SUV,Commuting,101.23,24.41,2021-12-04 06:56:34,2021-12-04 08:37:48,50,Female,Indonesian,33.65,Cash,1.4,Moderate,4.9,No,No,Yes,Yes
Walk,Sedan,Leisure,55.82,45.2,2021-12-05 09:13:30,2021-12-05 10:09:19,61,Female,Indian,23.94,Mobile App,4.3,Moderate,2.35,No,Yes,No,No
Walk,Van,Business,102.64,15.49,2021-12-06 11:30:27,2021-12-06 13:13:05,67,Male,Malaysian,15.97,Travel Pass,4.2,Moderate,9.2,No,Yes,No,Yes
Train,None,Shopping,39.63,22.42,2021-12-07 13:47:23,2021-12-07 14:27:01,54,Male,Singaporean,25.4,Mobile App,4.2,Heavy,8.28,Yes,No,No,Yes
Bus,Sedan,Others,23.04,46.02,2021-12-08 16:04:19,2021-12-08 16:27:21,33,Female,Singaporean,36.75,Mobile App,2,Light,9.48,No,Yes,No,No
Private Car,Electric Scooter,Commuting,41.13,22.5,2021-12-09 18:21:15,2021-12-09 19:02:23,19,Male,Indian,44.6,Mobile App,2,Heavy,9.01,Yes,No,Yes,No
Train,Motorcycle,School,45.99,26.48,2021-12-10 20:38:11,2021-12-10 21:24:10,50,Male,Malaysian,46.43,Travel Pass,4.3,Moderate,6.45,No,No,No,No
Private Car,Van,Business,67.06,28.24,2021-12-11 22:55:08,2021-12-12 00:02:12,28,Female,Singaporean,18.8,Mobile App,4.2,Light,0.97,Yes,No,No,Yes
Bus,SUV,Shopping,116.1,46.47,2021-12-13 01:12:04,2021-12-13 03:08:10,21,Male,Indonesian,10.98,Mobile App,2.5,Heavy,3.57,No,No,Yes,No
Walk,Electric Scooter,Shopping,8.71,34.23,2021-12-14 03:29:00,2021-12-14 03:37:43,21,Female,Indian,2.41,Mobile App,4.6,Light,5.6,Yes,Yes,Yes,No
Bus,Motorcycle,Others,95.15,5.15,2021-12-15 05:45:56,2021-12-15 07:21:05,62,Male,Indian,11.41,Travel Pass,2.8,Heavy,6.96,No,Yes,No,No
Private Car,Electric Scooter,Business,113.32,3.11,2021-12-16 08:02:52,2021-12-16 09:56:11,60,Male,Indonesian,1.94,Mobile App,4.8,Heavy,5.94,No,No,Yes,Yes
Taxi,None,Leisure,86.27,0.85,2021-12-17 10:19:49,2021-12-17 11:46:05,63,Male,Indonesian,44.1,Travel Pass,2,Moderate,1.49,No,No,Yes,No
Walk,None,Leisure,65.45,20.93,2021-12-18 12:36:45,2021-12-18 13:42:12,49,Female,Others,22.88,Card,1.7,Moderate,7.56,No,No,No,Yes
Bicycle,Van,Shopping,31.31,49.81,2021-12-19 14:53:41,2021-12-19 15:25:00,75,Female,Indian,40.2,Travel Pass,3.3,Heavy,7.96,Yes,No,No,No
Bus,Motorcycle,Others,103.14,22.09,2021-12-20 17:10:37,2021-12-20 18:53:45,48,Female,Indonesian,43.53,Mobile App,3.2,Heavy,2.83,Yes,Yes,Yes,Yes
Train,Motorcycle,Shopping,99.26,9.44,2021-12-21 19:27:34,2021-12-21 21:06:50,37,Female,Malaysian,3.96,Card,2.8,Light,8.87,Yes,Yes,No,Yes
Private Car,Motorcycle,Shopping,74.87,5.18,2021-12-22 21:44:30,2021-12-22 22:59:22,28,Male,Singaporean,35.68,Mobile App,4.8,Heavy,2.23,Yes,Yes,Yes,No
Bicycle,Electric Scooter,Shopping,19.81,41.88,2021-12-24 00:01:26,2021-12-24 00:21:15,25,Male,Indonesian,1.31,Travel Pass,4.2,Light,9.03,No,Yes,Yes,No
Bicycle,Sedan,School,6.57,25.99,2021-12-25 02:18:22,2021-12-25 02:24:56,70,Female,Indonesian,43.48,Travel Pass,4.9,Light,6.67,No,No,No,No
Bus,None,Shopping,82.24,44.76,2021-12-26 04:35:18,2021-12-26 05:57:32,54,Female,Malaysian,2.6,Travel Pass,2.3,Heavy,7.37,No,No,No,Yes
Taxi,None,School,5.98,18.76,2021-12-27 06:52:15,2021-12-27 06:58:14,33,Male,Malaysian,25.41,Mobile App,3.2,Moderate,4.8,Yes,Yes,No,Yes
Private Car,Motorcycle,Commuting,55.63,31.89,2021-12-28 09:09:11,2021-12-28 10:04:49,62,Male,Malaysian,15.84,Cash,3.6,Moderate,2,No,Yes,Yes,Yes
Walk,Electric Scooter,Business,21.18,5.47,2021-12-29 11:26:07,2021-12-29 11:47:18,70,Male,Malaysian,22.28,Cash,4.7,Heavy,1.87,Yes,No,No,Yes
Train,None,Others,76.78,32.81,2021-12-30 13:43:03,2021-12-30 14:59:50,66,Female,Malaysian,32.62,Cash,2.6,Light,9.24,Yes,Yes,Yes,Yes
Taxi,Van,Commuting,16.17,18.93,2021-12-31 16:00:00,2021-12-31 16:16:10,29,Male,Malaysian,24.76,Card,2.7,Heavy,9.65,No,No,No,Yes
Train,Sedan,Leisure,10.69,44.8,2022-01-01 18:16:56,2022-01-01 18:27:37,41,Male,Malaysian,20.68,Travel Pass,4.5,Light,0.66,No,No,Yes,No
Taxi,SUV,Shopping,111.85,30.29,2022-01-02 20:33:52,2022-01-02 22:25:43,79,Male,Indian,26.06,Mobile App,1.4,Moderate,3.01,No,No,No,Yes
Private Car,SUV,School,15.36,45.89,2022-01-03 22:50:48,2022-01-03 23:06:10,58,Female,Indonesian,34.56,Cash,2.7,Light,5.76,Yes,No,Yes,Yes
Walk,Motorcycle,Shopping,27.77,15.34,2022-01-05 01:07:44,2022-01-05 01:35:30,74,Male,Indonesian,37.31,Cash,3.4,Heavy,1.69,Yes,Yes,Yes,No
Private Car,None,Leisure,105.85,17.11,2022-01-06 03:24:41,2022-01-06 05:10:32,71,Female,Indian,35.4,Mobile App,1.3,Light,1.52,Yes,No,Yes,No
Bicycle,None,Others,30.81,46.66,2022-01-07 05:41:37,2022-01-07 06:12:26,65,Male,Indian,38.46,Card,3.2,Light,2.02,No,No,Yes,No
Train,SUV,Business,99.36,32.01,2022-01-08 07:58:33,2022-01-08 09:37:55,38,Female,Singaporean,34.82,Cash,1,Light,2.42,No,No,Yes,Yes
Walk,Motorcycle,Shopping,43.33,32.73,2022-01-09 10:15:29,2022-01-09 10:58:49,37,Male,Indian,35.6,Cash,2.9,Heavy,4.05,No,No,Yes,No
Walk,Van,Others,106.86,26.34,2022-01-10 12:32:25,2022-01-10 14:19:17,54,Female,Indian,46.12,Card,1.2,Light,2.26,Yes,No,No,No
Walk,Electric Scooter,Others,13.63,39.28,2022-01-11 14:49:22,2022-01-11 15:03:00,49,Male,Indian,35.75,Mobile App,2.8,Moderate,7.52,Yes,No,Yes,No
Taxi,Van,Shopping,39.36,44.33,2022-01-12 17:06:18,2022-01-12 17:45:40,37,Female,Others,11.34,Cash,1.4,Moderate,2.17,No,Yes,Yes,No
Walk,None,Leisure,74.25,3.78,2022-01-13 19:23:14,2022-01-13 20:37:29,66,Male,Others,20.73,Travel Pass,1.1,Heavy,1.94,Yes,Yes,Yes,Yes
Private Car,SUV,Commuting,68.89,0.66,2022-01-14 21:40:10,2022-01-14 22:49:03,29,Female,Singaporean,34.38,Mobile App,1.2,Heavy,2.97,Yes,Yes,Yes,No
Train,None,Commuting,30.43,3.2,2022-01-15 23:57:07,2022-01-16 00:27:33,68,Female,Indonesian,10.03,Travel Pass,3.1,Moderate,7.89,No,No,Yes,Yes
Bicycle,Motorcycle,Commuting,111.69,37.45,2022-01-17 02:14:03,2022-01-17 04:05:44,23,Female,Indian,33.9,Card,3.6,Heavy,3.67,No,Yes,No,Yes
Walk,Electric Scooter,Leisure,86.84,14.58,2022-01-18 04:30:59,2022-01-18 05:57:49,64,Female,Indonesian,2.06,Mobile App,3.9,Heavy,3.19,No,No,Yes,No
Taxi,Sedan,Leisure,35.44,37.14,2022-01-19 06:47:55,2022-01-19 07:23:21,70,Male,Malaysian,3.07,Card,2.5,Moderate,7.02,Yes,No,Yes,No
Train,Sedan,Business,66.68,28.52,2022-01-20 09:04:51,2022-01-20 10:11:32,55,Female,Indian,9.11,Cash,2.4,Heavy,0.09,Yes,No,No,Yes
Private Car,Sedan,Commuting,68.78,33.97,2022-01-21 11:21:48,2022-01-21 12:30:35,42,Male,Others,0.96,Cash,3.4,Light,1.62,Yes,No,Yes,Yes
Private Car,Motorcycle,Shopping,72.65,25.29,2022-01-22 13:38:44,2022-01-22 14:51:23,54,Female,Indonesian,3.22,Card,1.2,Heavy,6.46,No,Yes,Yes,No
Taxi,Electric Scooter,Shopping,93.42,20.5,2022-01-23 15:55:40,2022-01-23 17:29:05,77,Female,Malaysian,39.13,Card,3.8,Light,0.49,No,Yes,No,Yes
Private Car,SUV,School,104.59,48.41,2022-01-24 18:12:36,2022-01-24 19:57:11,44,Male,Others,42.95,Travel Pass,4.3,Moderate,3.48,Yes,No,No,Yes
Private Car,Electric Scooter,School,21.05,23.21,2022-01-25 20:29:32,2022-01-25 20:50:35,38,Male,Indian,38.73,Cash,4,Light,6.06,Yes,Yes,Yes,No
Taxi,Electric Scooter,Shopping,115.71,5.74,2022-01-26 22:46:29,2022-01-27 00:42:12,41,Male,Others,9.3,Card,1.3,Heavy,4.2,No,Yes,Yes,Yes
Bicycle,SUV,Commuting,20.13,4.61,2022-01-28 01:03:25,2022-01-28 01:23:33,68,Male,Others,35.3,Mobile App,3.8,Light,3.67,Yes,No,No,Yes
Taxi,Sedan,Shopping,37.96,19.34,2022-01-29 03:20:21,2022-01-29 03:58:19,65,Male,Singaporean,48.75,Cash,4.4,Light,0.58,Yes,Yes,No,No
Train,Electric Scooter,School,110.18,16.49,2022-01-30 05:37:17,2022-01-30 07:27:28,57,Male,Others,12.54,Cash,2.6,Heavy,5.02,No,Yes,No,No
Taxi,Sedan,Commuting,61.61,45.2,2022-01-31 07:54:14,2022-01-31 08:55:51,24,Male,Singaporean,34.68,Mobile App,2.2,Light,7.16,No,Yes,No,No
Train,Sedan,Shopping,29.04,44.3,2022-02-01 10:11:10,2022-02-01 10:40:12,40,Male,Others,36.54,Card,1.2,Heavy,1.66,Yes,No,No,No
Taxi,SUV,Shopping,86.79,32.18,2022-02-02 12:28:06,2022-02-02 13:54:53,45,Male,Indonesian,11.9,Cash,2.8,Moderate,0.9,Yes,No,Yes,No
Train,Electric Scooter,Business,107.75,5.01,2022-02-03 14:45:02,2022-02-03 16:32:47,56,Female,Indian,1.91,Card,3,Moderate,10,Yes,Yes,Yes,Yes
Taxi,Sedan,Commuting,33.66,43.61,2022-02-04 17:01:58,2022-02-04 17:35:38,52,Male,Malaysian,14.52,Cash,4,Heavy,2.45,No,Yes,Yes,Yes
Taxi,Electric Scooter,Leisure,53.86,8.98,2022-02-05 19:18:55,2022-02-05 20:12:47,30,Male,Others,8.25,Mobile App,2.4,Light,7.24,Yes,No,Yes,No
Taxi,Motorcycle,Shopping,31.41,32.24,2022-02-06 21:35:51,2022-02-06 22:07:16,20,Female,Singaporean,4.52,Card,1.3,Moderate,7,No,No,No,No
Private Car,Sedan,Shopping,81.41,48.95,2022-02-07 23:52:47,2022-02-08 01:14:12,30,Male,Singaporean,35.2,Mobile App,4.4,Heavy,9.24,Yes,Yes,No,No
Bus,None,Business,46.43,37.14,2022-02-09 02:09:43,2022-02-09 02:56:09,63,Female,Indian,22.78,Cash,3.6,Light,7.77,No,No,Yes,Yes
Bus,Sedan,Commuting,21.9,22.7,2022-02-10 04:26:40,2022-02-10 04:48:34,38,Female,Singaporean,29.43,Cash,1.3,Light,5.94,No,Yes,No,Yes
Bicycle,Van,Leisure,85.1,4.92,2022-02-11 06:43:36,2022-02-11 08:08:42,21,Female,Others,5.49,Mobile App,2.8,Light,0.04,Yes,Yes,Yes,Yes
Private Car,Motorcycle,Shopping,115.66,40.66,2022-02-12 09:00:32,2022-02-12 10:56:12,76,Male,Others,9.37,Mobile App,4.5,Light,6.99,No,Yes,Yes,Yes
Walk,Motorcycle,Business,82.91,36.4,2022-02-13 11:17:28,2022-02-13 12:40:23,39,Male,Indonesian,14.79,Travel Pass,3.6,Heavy,8.4,Yes,No,No,No
Walk,None,Leisure,96.61,2.8,2022-02-14 13:34:24,2022-02-14 15:11:01,58,Female,Others,36.57,Travel Pass,1,Moderate,1.71,Yes,Yes,No,Yes
Taxi,Motorcycle,Shopping,29.63,7.91,2022-02-15 15:51:21,2022-02-15 16:20:59,20,Female,Singaporean,4.61,Mobile App,4.2,Light,6.64,No,Yes,Yes,No
Walk,None,Commuting,15.82,26.11,2022-02-16 18:08:17,2022-02-16 18:24:06,74,Male,Indian,20.08,Travel Pass,1.5,Light,1.41,No,No,Yes,No
Private Car,Van,Leisure,93.06,9.14,2022-02-17 20:25:13,2022-02-17 21:58:17,64,Male,Malaysian,45.63,Card,3.6,Heavy,6.01,No,Yes,Yes,No
Bicycle,None,School,10.95,0.82,2022-02-18 22:42:09,2022-02-18 22:53:06,31,Female,Singaporean,36.35,Travel Pass,3.2,Moderate,3.18,Yes,Yes,Yes,No
Bus,Electric Scooter,Commuting,90.59,19.57,2022-02-20 00:59:05,2022-02-20 02:29:40,38,Female,Malaysian,19.22,Cash,4.3,Light,4.33,No,No,Yes,Yes
Walk,Van,Business,95.64,4.99,2022-02-21 03:16:02,2022-02-21 04:51:40,34,Female,Malaysian,11.14,Cash,3.7,Light,1.89,No,No,Yes,No
Private Car,Sedan,Commuting,27.04,42.47,2022-02-22 05:32:58,2022-02-22 06:00:00,52,Male,Indonesian,19.41,Cash,4.4,Heavy,7.51,No,No,Yes,No
Bus,Electric Scooter,Commuting,25.37,47.13,2022-02-23 07:49:54,2022-02-23 08:15:16,28,Male,Singaporean,10.76,Travel Pass,4.6,Heavy,0.78,Yes,No,No,Yes
Train,Sedan,Leisure,5.98,42.6,2022-02-24 10:06:50,2022-02-24 10:12:49,67,Male,Indonesian,28.53,Card,1.9,Heavy,5.82,No,No,No,Yes
Taxi,Sedan,Commuting,113.78,22.75,2022-02-25 12:23:47,2022-02-25 14:17:34,65,Female,Indian,17.86,Cash,1.6,Moderate,8.51,Yes,Yes,No,No
Bicycle,Van,Commuting,73.82,27.84,2022-02-26 14:40:43,2022-02-26 15:54:32,27,Male,Indian,12.45,Card,4.5,Moderate,9.69,Yes,Yes,Yes,No
Taxi,None,Leisure,60.37,39.75,2022-02-27 16:57:39,2022-02-27 17:58:01,37,Female,Malaysian,48.21,Mobile App,3.9,Heavy,1.17,Yes,Yes,No,No
Bus,Electric Scooter,Leisure,6.31,19.25,2022-02-28 19:14:35,2022-02-28 19:20:54,67,Female,Singaporean,37.01,Card,1.7,Moderate,4.66,No,Yes,No,No
Bus,Motorcycle,Others,104.14,17.9,2022-03-01 21:31:31,2022-03-01 23:15:39,27,Female,Singaporean,38.07,Mobile App,2.4,Heavy,4.44,Yes,No,Yes,Yes
Bus,SUV,School,102.72,20.78,2022-03-02 23:48:28,2022-03-03 01:31:11,71,Female,Malaysian,39.13,Mobile App,4.1,Moderate,6.2,No,No,Yes,Yes
Walk,Electric Scooter,Commuting,42.42,37.44,2022-03-04 02:05:24,2022-03-04 02:47:49,79,Male,Singaporean,10.53,Travel Pass,1.7,Moderate,9.09,No,No,Yes,No
Train,Sedan,Business,33.65,25.87,2022-03-05 04:22:20,2022-03-05 04:55:59,75,Female,Singaporean,41.53,Mobile App,3.3,Heavy,4.44,No,No,Yes,No
Bus,None,Commuting,108.47,46.22,2022-03-06 06:39:16,2022-03-06 08:27:44,59,Male,Others,41.98,Travel Pass,3.8,Heavy,4.79,Yes,No,Yes,No
Train,Van,Business,10.37,13.86,2022-03-07 08:56:12,2022-03-07 09:06:34,79,Male,Malaysian,4.3,Mobile App,2.6,Heavy,7.04,No,Yes,No,Yes
Bus,Van,Commuting,81.02,23.78,2022-03-08 11:13:09,2022-03-08 12:34:10,66,Male,Others,19.69,Card,3.2,Heavy,6.15,Yes,Yes,Yes,Yes
Bus,SUV,Others,66.74,5.55,2022-03-09 13:30:05,2022-03-09 14:36:49,28,Female,Singaporean,30.79,Travel Pass,4,Moderate,8.52,Yes,No,Yes,Yes
Walk,SUV,Business,7.16,46.7,2022-03-10 15:47:01,2022-03-10 15:54:11,38,Male,Malaysian,21.22,Mobile App,3.5,Moderate,0.51,No,No,Yes,Yes
Bus,Sedan,Leisure,8.01,42.48,2022-03-11 18:03:57,2022-03-11 18:11:58,27,Female,Indian,12.6,Cash,1.3,Light,4.91,No,No,No,Yes
Private Car,SUV,Commuting,9.35,10.99,2022-03-12 20:20:54,2022-03-12 20:30:15,29,Male,Indonesian,48.78,Travel Pass,2.7,Moderate,4.3,Yes,Yes,Yes,Yes
Bus,Van,School,116.73,36.78,2022-03-13 22:37:50,2022-03-14 00:34:34,68,Male,Others,6.04,Mobile App,2,Moderate,3.67,No,Yes,Yes,Yes
Private Car,Van,Business,29.95,2.29,2022-03-15 00:54:46,2022-03-15 01:24:43,49,Male,Indonesian,32.24,Mobile App,3.7,Heavy,7.18,No,No,No,No
Private Car,Sedan,Commuting,24.73,5.63,2022-03-16 03:11:42,2022-03-16 03:36:26,21,Male,Indonesian,44.78,Cash,4.3,Light,0.94,Yes,Yes,Yes,Yes
Bus,Sedan,Others,74.77,48.67,2022-03-17 05:28:38,2022-03-17 06:43:24,62,Male,Malaysian,47.13,Cash,1.3,Moderate,3.83,No,Yes,No,No
Bicycle,Motorcycle,Shopping,9.45,2.72,2022-03-18 07:45:35,2022-03-18 07:55:02,53,Male,Indonesian,24.52,Mobile App,2,Heavy,1.88,No,No,No,No
Bus,Electric Scooter,Business,43.58,29.87,2022-03-19 10:02:31,2022-03-19 10:46:06,56,Male,Malaysian,40.49,Card,2.6,Moderate,3.5,Yes,No,Yes,Yes
Taxi,Sedan,Shopping,76.62,29.73,2022-03-20 12:19:27,2022-03-20 13:36:04,20,Male,Indian,30.4,Card,1.5,Light,0.32,No,No,No,No
Taxi,SUV,Leisure,106.67,14.21,2022-03-21 14:36:23,2022-03-21 16:23:03,68,Male,Others,40.86,Card,2.1,Moderate,2.51,Yes,Yes,Yes,Yes
Train,Sedan,Business,81.75,42.1,2022-03-22 16:53:20,2022-03-22 18:15:05,19,Female,Indonesian,16.4,Cash,1.4,Moderate,9.88,No,No,No,Yes
Taxi,Motorcycle,School,75.7,30.14,2022-03-23 19:10:16,2022-03-23 20:25:58,54,Male,Indonesian,30.3,Cash,1.7,Light,5.57,No,No,No,Yes
Private Car,SUV,Shopping,80.78,30.15,2022-03-24 21:27:12,2022-03-24 22:47:59,72,Male,Singaporean,17.88,Card,3,Light,7.62,Yes,No,No,Yes
Train,SUV,Commuting,80.07,8.81,2022-03-25 23:44:08,2022-03-26 01:04:12,71,Female,Others,34.28,Cash,4.8,Light,0.84,No,Yes,No,No
Private Car,Motorcycle,Business,81.72,13.99,2022-03-27 02:01:04,2022-03-27 03:22:47,27,Male,Indonesian,14.49,Travel Pass,1.6,Moderate,6.61,Yes,No,Yes,No
Bicycle,Motorcycle,School,89.52,4.35,2022-03-28 04:18:01,2022-03-28 05:47:32,57,Male,Indian,4.28,Card,1.7,Heavy,0.1,No,Yes,No,Yes
Train,Van,Leisure,51.2,32.86,2022-03-29 06:34:57,2022-03-29 07:26:09,29,Male,Others,49.93,Cash,3.2,Light,4.89,Yes,No,Yes,No
Taxi,Van,Others,79.03,5.75,2022-03-30 08:51:53,2022-03-30 10:10:55,20,Female,Malaysian,12.7,Mobile App,1.9,Heavy,8.09,No,Yes,No,Yes
Bus,Motorcycle,Shopping,104,13.55,2022-03-31 11:08:49,2022-03-31 12:52:49,35,Male,Malaysian,29.29,Card,5,Light,3.55,No,Yes,No,No
Walk,SUV,Business,118.29,7.74,2022-04-01 13:25:45,2022-04-01 15:24:02,47,Female,Singaporean,1.98,Card,4.5,Heavy,4,Yes,Yes,Yes,Yes
Bus,Sedan,Commuting,113.62,16.67,2022-04-02 15:42:42,2022-04-02 17:36:19,30,Male,Malaysian,11.63,Travel Pass,4,Light,0.62,Yes,Yes,Yes,No
Train,Electric Scooter,Commuting,22.24,28.85,2022-04-03 17:59:38,2022-04-03 18:21:52,63,Female,Malaysian,32.17,Travel Pass,1.7,Moderate,5.19,No,Yes,Yes,No
Walk,None,Business,90.83,40.61,2022-04-04 20:16:34,2022-04-04 21:47:24,60,Female,Singaporean,26.49,Mobile App,4.7,Moderate,0.31,Yes,Yes,No,No
Train,Sedan,Leisure,113.33,24.37,2022-04-05 22:33:30,2022-04-06 00:26:50,33,Female,Malaysian,1.15,Card,4.3,Moderate,4.63,No,No,No,Yes
Taxi,Sedan,Others,75.28,7.64,2022-04-07 00:50:27,2022-04-07 02:05:44,77,Female,Others,34.76,Mobile App,3,Light,6.79,Yes,Yes,No,No
Bus,Van,Leisure,118.49,19.34,2022-04-08 03:07:23,2022-04-08 05:05:52,52,Male,Indonesian,27.67,Card,2.1,Moderate,9.85,No,Yes,No,Yes
Train,Electric Scooter,Shopping,24.27,18.98,2022-04-09 05:24:19,2022-04-09 05:48:35,37,Female,Malaysian,25.59,Mobile App,1.2,Light,9.52,Yes,Yes,Yes,Yes
Taxi,Motorcycle,School,77.79,26.92,2022-04-10 07:41:15,2022-04-10 08:59:02,60,Male,Indian,34.92,Cash,1.2,Heavy,6.61,No,Yes,Yes,Yes
Train,Motorcycle,Others,111.22,25.41,2022-04-11 09:58:11,2022-04-11 11:49:24,31,Male,Singaporean,26.94,Mobile App,4.4,Heavy,2.44,Yes,No,No,No
Bicycle,None,Commuting,106.38,10.14,2022-04-12 12:15:08,2022-04-12 14:01:31,34,Male,Indian,17.82,Mobile App,2.6,Light,0.28,Yes,No,Yes,Yes
Train,Motorcycle,Shopping,11.79,18.93,2022-04-13 14:32:04,2022-04-13 14:43:51,42,Male,Indian,38.13,Cash,3.8,Light,2.98,No,No,Yes,Yes
Bicycle,Motorcycle,Leisure,103.48,5.29,2022-04-14 16:49:00,2022-04-14 18:32:29,25,Female,Others,41,Card,1.3,Light,5.78,No,Yes,No,No
Private Car,Motorcycle,School,19.08,32.32,2022-04-15 19:05:56,2022-04-15 19:25:01,47,Male,Indian,2.49,Travel Pass,4.1,Heavy,6.59,Yes,Yes,No,No
Train,Motorcycle,Shopping,53.79,38.62,2022-04-16 21:22:52,2022-04-16 22:16:39,62,Female,Others,45.27,Card,2.1,Moderate,6.24,No,No,No,Yes
Bus,Sedan,Commuting,59.15,46.93,2022-04-17 23:39:49,2022-04-18 00:38:58,32,Male,Others,42.07,Mobile App,3.3,Light,8.91,No,No,No,Yes
Walk,Van,School,68.79,5.15,2022-04-19 01:56:45,2022-04-19 03:05:32,57,Male,Indonesian,5.02,Mobile App,4.9,Light,5.07,No,No,Yes,No
Bus,Motorcycle,Leisure,114.09,7.41,2022-04-20 04:13:41,2022-04-20 06:07:46,59,Male,Malaysian,17,Travel Pass,2.3,Light,3.49,No,Yes,Yes,No
Bicycle,None,Commuting,112.37,10.06,2022-04-21 06:30:37,2022-04-21 08:22:59,21,Male,Singaporean,17.91,Cash,2,Heavy,5.59,Yes,Yes,No,No
Taxi,Sedan,School,99.05,29.58,2022-04-22 08:47:34,2022-04-22 10:26:37,57,Male,Others,35.83,Card,3.2,Moderate,1.23,Yes,No,No,No
Private Car,Sedan,Others,44.99,23.09,2022-04-23 11:04:30,2022-04-23 11:49:29,34,Male,Singaporean,35.55,Cash,1.4,Heavy,9.91,No,Yes,Yes,No
Bicycle,None,Shopping,109.76,36.97,2022-04-24 13:21:26,2022-04-24 15:11:12,53,Male,Malaysian,40.77,Card,2.2,Heavy,5.57,Yes,No,Yes,No
Walk,SUV,Business,109.46,31.99,2022-04-25 15:38:22,2022-04-25 17:27:50,34,Male,Indian,34.53,Mobile App,3.8,Heavy,1.04,No,Yes,No,No
Taxi,Sedan,Commuting,51.06,33.51,2022-04-26 17:55:18,2022-04-26 18:46:22,18,Female,Indonesian,31.18,Travel Pass,4.8,Light,0.62,Yes,No,No,No
Bus,Sedan,Business,97.45,47.75,2022-04-27 20:12:15,2022-04-27 21:49:42,68,Male,Indian,21.67,Cash,1.5,Heavy,7.49,Yes,No,No,Yes
Train,Electric Scooter,Shopping,81.71,27.37,2022-04-28 22:29:11,2022-04-28 23:50:54,78,Male,Others,40.1,Travel Pass,2.5,Heavy,5.15,No,No,Yes,No
Bicycle,None,Shopping,112.33,46.56,2022-04-30 00:46:07,2022-04-30 02:38:27,32,Male,Malaysian,39.2,Card,1.8,Heavy,8.04,No,Yes,Yes,No
Bus,Sedan,Business,34.75,45.33,2022-05-01 03:03:03,2022-05-01 03:37:48,73,Male,Singaporean,22.88,Cash,4.1,Moderate,8.31,Yes,Yes,No,Yes
Private Car,Motorcycle,Business,24.63,37.97,2022-05-02 05:20:00,2022-05-02 05:44:38,75,Male,Others,25.49,Cash,5,Heavy,6.47,Yes,No,Yes,No
Train,Motorcycle,Shopping,99.34,24.86,2022-05-03 07:36:56,2022-05-03 09:16:16,68,Male,Indonesian,23,Mobile App,1.6,Heavy,0.75,No,No,No,No
Bus,Sedan,Others,10.5,44.27,2022-05-04 09:53:52,2022-05-04 10:04:22,19,Male,Others,23.65,Mobile App,1,Moderate,7.18,No,Yes,Yes,Yes
Bicycle,Electric Scooter,Business,117.47,33.17,2022-05-05 12:10:48,2022-05-05 14:08:16,19,Female,Others,21.48,Card,1.8,Moderate,0.65,Yes,No,Yes,Yes
Taxi,None,Leisure,31.94,18.78,2022-05-06 14:27:44,2022-05-06 14:59:40,28,Female,Singaporean,37.79,Cash,4.1,Light,5.62,Yes,No,No,Yes
Bicycle,Sedan,Leisure,61.45,46.2,2022-05-07 16:44:41,2022-05-07 17:46:08,36,Female,Singaporean,20.93,Card,4.4,Light,2.12,Yes,Yes,Yes,Yes
Bus,Electric Scooter,Commuting,111.83,31.6,2022-05-08 19:01:37,2022-05-08 20:53:27,72,Female,Others,2.65,Card,3.3,Light,7.86,Yes,Yes,Yes,No
Walk,Electric Scooter,Shopping,59.41,46.12,2022-05-09 21:18:33,2022-05-09 22:17:58,19,Female,Singaporean,36.38,Cash,1.4,Heavy,8.51,Yes,Yes,Yes,Yes
Private Car,Sedan,Others,99.82,28.77,2022-05-10 23:35:29,2022-05-11 01:15:18,69,Female,Indonesian,0.08,Card,1.6,Heavy,8.75,No,No,Yes,No
Train,Motorcycle,Business,14.92,46.26,2022-05-12 01:52:25,2022-05-12 02:07:20,25,Female,Indonesian,28.05,Travel Pass,2,Heavy,7.23,Yes,No,Yes,Yes
Walk,Sedan,Business,111.35,13.51,2022-05-13 04:09:22,2022-05-13 06:00:43,51,Male,Singaporean,36.49,Mobile App,1.8,Light,5.5,No,Yes,Yes,Yes
Private Car,SUV,Shopping,76.04,43.78,2022-05-14 06:26:18,2022-05-14 07:42:20,49,Male,Malaysian,26.1,Card,4.1,Heavy,6.97,No,Yes,Yes,Yes
